ft,t
kt,t
lt,n
ld,n
lk,n
lp,n
lb,n
lf,n
lv,n
lch,n
lj,n
lm,n
ls,n
mp,n
mf,n
nt,n
nd,n
nch,n
nj,n
ns,n
nz,n
ŋk,n
ŋg,n
ps,n
pt,n
mpt,n
sk,t
sp,t
st,t
θ,t
ts,t
ks,t
bz,t
dz,t
gz,t
fs,t
θs,t
vz,t
ðz,t
mz,n
lz,n
ŋz,n
sht,t
cht,t
bd,t
gd,t
vd,t
ðd,t
zd,t
jd,t
zhd,t
md,n
ŋd,n
lkt,n
lpt,n
lvd,n
mft,n
ncht,n
lcht,n
njd,n
ljd,n
rd,t
rt,t
rk,t
rb,t
rp,t
rs,t
rz,t
rθ,t
rl,n
rm,n
rn,n
rld,n
rmd,n
rnd,n
rkt,t
rst,t
b,t
d,t
f,t
g,t
h,t
j,t
k,t
l,n
m,n
n,n
ŋ,n
p,t
r,
s,t
ʃ,t
t,t
tʃ,t
ð,t
v,t
w,t
z,
ʒ,t
dʒ,t
∫,t
ð,θ
η,n
ι,n
ηk,n
ηg,n
ηd,n
ηt,n
ηθ,n
ηs,n
ηz,n
ηʃ,n
ηdʒ,n
ηtʃ,n
ηʒ,n
ηθs,n
ηzθ,n
ηzʃ,n
ηzʒ,n
ηθz,n
ηθʃ,n
ηθdʒ,n
ηθtʃ,n
ηθʒ,n
ηθθ,n
ηθd,n
ηθt,n
ηθn,n
ηθl,n
ηθr,n
ηθm,n
ηθw,n
ηθj,n
ηθv,n
ηθf,n
ηθp,n
ηθb,n
ηθtʃ,n
ηθdʒ,n
ηθz,n
ηθs,n
ηθʃ,n
ηθʒ,n
