b, b,,
d, d,,
f, f,,
g, g,,
h, h,,
j, r,,
k, k,,
l, n,,
m, m,,
n, n,,
ŋ, n,,
p, b,,
r, r,,
s, s,,
ʃ, s,,
t, t,,
tʃ, tʃ,,
θ, θ,,
ð, r,,
v, v,,
w, g,,
z, r,,
ʒ, r,,
dʒ, r,,
l̩, n,,
n̩, n,,
r̩, r,,
pl, pɒ n, n,
pr, pɒ r, r,
bl, bɒ n, n,
br, bɒ r, r,
tr, tʃ,,
dr, dɒ r, r,
kl, kɒ n, n,
kr, kɒ r, r,
gl, gɒ n, n,
gr, gɒ r, r,
fl, fɒ n, f, n
fr, fɒ r, f, r
θr, θɒ r, θ, r
shr, sɒ r, s, r
sk, sɒ k, s, k
skr, sɒ kɒ r, sɒ k, sɒ r
sl, sɒ n, s, n
sm, sɒ m, m,
sn, sɒ n, n,
sp, sɒ p, p,
spl, sɒ pɒ n, sɒ n, n
spr, sɒ pɒ r, sɒ r, r
st, sɒ t, s, t
str, sɒ tʃ, s, tʃ
sw, sɒ w, s, w
tw, tʃ,,
dw, d,,
kw, k,,
skw, sɒ k, k,
gw, g,,
ð, θ,,
ʧ, tʃ,,
∫, s,,
ɡ, g,,
