aʊn,aʊ
baʊn,baʊ
daʊn,daʊ
faʊn,faʊ
gaʊn,gaʊ
haʊn,haʊ
kaʊn,kaʊ
maʊn,maʊ
naʊn,naʊ
paʊn,paʊ
raʊn,raʊ
saʊn,saʊ
taʊn,taʊ
tʃaʊn,tʃaʊ
θaʊn,θaʊ
vaʊn,vaʊ
baʊt,baʊ
daʊt,daʊ
faʊt,faʊ
gaʊt,gaʊ
haʊt,haʊ
kaʊt,kaʊ
maʊt,maʊ
naʊt,naʊ
paʊt,paʊ
raʊt,raʊ
saʊt,saʊ
taʊt,taʊ
tʃaʊt,tʃaʊ
θaʊt,θaʊ
vaʊt,vaʊ
əʊn,əʊ
bəʊn,bəʊ
dəʊn,dəʊ
fəʊn,fəʊ
gəʊn,gəʊ
həʊn,həʊ
kəʊn,kəʊ
məʊn,məʊ
nəʊn,nəʊ
pəʊn,pəʊ
rəʊn,rəʊ
səʊn,səʊ
təʊn,təʊ
tʃəʊn,tʃəʊ
θəʊn,θəʊ
vəʊn,vəʊ
bəʊt,bɒt
dəʊt,dɒt
fəʊt,fɒt
gəʊt,gɒt
həʊt,hɒt
kəʊt,kɒt
məʊt,mɒt
nəʊt,nɒt
pəʊt,pɒt
rəʊt,rɒt
səʊt,sɒt
təʊt,tɒt
tʃəʊt,tʃɒt
θəʊt,θɒt
vəʊt,vɒt
ɔɪn,ɔɪ
bɔɪn,bɔɪ
dɔɪn,dɔɪ
fɔɪn,fɔɪ
gɔɪn,gɔɪ
hɔɪn,hɔɪ
kɔɪn,kɔɪ
mɔɪn,mɔɪ
nɔɪn,nɔɪ
pɔɪn,pɔɪ
rɔɪn,rɔɪ
sɔɪn,sɔɪ
tɔɪn,tɔɪ
tʃɔɪn,tʃɔɪ
θɔɪn,θɔɪ
vɔɪn,vɔɪ
bɔɪt,bɔɪ
dɔɪt,dɔɪ
fɔɪt,fɔɪ
gɔɪt,gɔɪ
hɔɪt,hɔɪ
kɔɪt,kɔɪ
mɔɪt,mɔɪ
nɔɪt,nɔɪ
pɔɪt,pɔɪ
rɔɪt,rɔɪ
sɔɪt,sɔɪ
tɔɪt,tɔɪ
tʃɔɪt,tʃɔɪ
θɔɪt,θɔɪ
vɔɪt,vɔɪ
ɪən,ɪə
bɪən,bɪə
dɪən,dɪə
fɪən,fɪə
gɪən,gɪə
hɪən,hɪə
kɪən,kɪə
mɪən,mɪə
nɪən,nɪə
pɪən,pɪə
rɪən,rɪə
sɪən,sɪə
tɪən,tɪə
tʃɪən,tʃɪə
θɪən,θɪə
vɪən,vɪə
bɪət,bɒt
dɪət,dɒt
fɪət,fɒt
gɪət,gɒt
hɪət,hɒt
kɪət,kɒt
mɪət,mɒt
nɪət,nɒt
pɪət,pɒt
rɪət,rɒt
sɪət,sɒt
tɪət,tɒt
tʃɪət,tʃɒt
θɪət,θɒt
vɪət,vɒt
ʊən,ʊə
bʊən,bʊə
dʊən,dʊə
fʊən,fʊə
gʊən,gʊə
hʊən,hʊə
kʊən,kʊə
mʊən,mʊə
nʊən,nʊə
pʊən,pʊə
rʊən,rʊə
sʊən,sʊə
tʊən,tʊə
tʃʊən,tʃʊə
θʊən,θʊə
vʊən,vʊə
bʊət,bʊə
dʊət,dʊə
fʊət,fʊə
gʊət,gʊə
hʊət,hʊə
kʊət,kʊə
mʊət,mʊə
nʊət,nʊə
pʊət,pʊə
rʊət,rʊə
sʊət,sʊə
tʊət,tʊə
tʃʊət,tʃʊə
θʊət,θʊə
vʊət,vʊə
jun,ju
bjun,bju
djun,dju
fjun,fju
gjun,gju
hjun,hju
kjun,kju
mjun,mju
njun,nju
pjun,pju
rjun,rju
sjun,sju
tjun,tju
tʃjun,tʃju
θjun,θju
vjun,vju
bjut,bju
djut,dju
fjut,fju
gjut,gju
hjut,hju
kjut,kju
mjut,mju
njut,nju
pjut,pju
rjut,rju
sjut,sju
tjut,tju
tʃjut,tʃju
θjut,θju
vjut,vju
aɪn,aɪ
baɪn,baɪ
daɪn,daɪ
faɪn,faɪ
gaɪn,gaɪ
haɪn,haɪ
kaɪn,kaɪ
maɪn,maɪ
naɪn,naɪ
paɪn,paɪ
raɪn,raɪ
saɪn,saɪ
taɪn,taɪ
tʃaɪn,tʃaɪ
θaɪn,θaɪ
vaɪn,vaɪ
baɪt,baɪ
daɪt,daɪ
faɪt,faɪ
gaɪt,gaɪ
haɪt,haɪ
kaɪt,kaɪ
maɪt,maɪ
naɪt,naɪ
paɪt,paɪ
raɪt,raɪ
saɪt,saɪ
taɪt,taɪ
tʃaɪt,tʃaɪ
θaɪt,θaɪ
vaɪt,vaɪ
mail,maɪ
aʊl,aʊ
baʊl,baʊ
daʊl,daʊ
faʊl,faʊ
gaʊl,gaʊ
haʊl,haʊ
kaʊl,kaʊ
maʊl,maʊ
naʊl,naʊ
paʊl,paʊ
raʊl,raʊ
saʊl,saʊ
taʊl,taʊ
tʃaʊl,tʃaʊ
θaʊl,θaʊ
vaʊl,vaʊ
əʊl,əʊ
bəʊl,bəʊ
dəʊl,dəʊ
fəʊl,fəʊ
gəʊl,gəʊ
həʊl,həʊ
kəʊl,kəʊ
məʊl,məʊ
nəʊl,nəʊ
pəʊl,pəʊ
rəʊl,rəʊ
səʊl,səʊ
təʊl,təʊ
tʃəʊl,tʃəʊ
θəʊl,θəʊ
vəʊl,vəʊ
ɔɪl,ɔɪ
bɔɪl,bɔɪ
dɔɪl,dɔɪ
fɔɪl,fɔɪ
gɔɪl,gɔɪ
hɔɪl,hɔɪ
kɔɪl,kɔɪ
mɔɪl,mɔɪ
nɔɪl,nɔɪ
pɔɪl,pɔɪ
rɔɪl,rɔɪ
sɔɪl,sɔɪ
tɔɪl,tɔɪ
tʃɔɪl,tʃɔɪ
θɔɪl,θɔɪ
vɔɪl,vɔɪ
ɪəl,ɪə
bɪəl,bɪə
dɪəl,dɪə
fɪəl,fɪə
gɪəl,gɪə
hɪəl,hɪə
kɪəl,kɪə
mɪəl,mɪə
nɪəl,nɪə
pɪəl,pɪə
rɪəl,rɪə
sɪəl,sɪə
tɪəl,tɪə
tʃɪəl,tʃɪə
θɪəl,θɪə
vɪəl,vɪə
ʊəl,ʊə
bʊəl,bʊə
dʊəl,dʊə
fʊəl,fʊə
gʊəl,gʊə
hʊəl,hʊə
kʊəl,kʊə
mʊəl,mʊə
nʊəl,nʊə
pʊəl,pʊə
rʊəl,rʊə
sʊəl,sʊə
tʊəl,tʊə
tʃʊəl,tʃʊə
θʊəl,θʊə
vʊəl,vʊə
jul,ju
bjul,bju
djul,dju
fjul,fju
gjul,gju
hjul,hju
kjul,kju
mjul,mju
njul,nju
pjul,pju
rjul,rju
sjul,sju
tjul,tju
tʃjul,tʃju
θjul,θju
vjul,vju
aɪl,aɪ
baɪl,baɪ
daɪl,daɪ
faɪl,faɪ
gaɪl,gaɪ
haɪl,haɪ
kaɪl,kaɪ
maɪl,maɪ
naɪl,naɪ
paɪl,paɪ
raɪl,raɪ
saɪl,saɪ
taɪl,taɪ
tʃaɪl,tʃaɪ
θaɪl,θaɪ
vaɪl,vaɪ
