ʌ,ai,ăn,ấn,ẩn,ác,,,,
e,ế,em,ép,ếch,,,,,
ɪ,y,ý,ị,ít,yêu,im,,,
ɒ,o,o,on,om,ong,,,,
ʊ,u,ủ,ùn,úng,úp,,,,
aɪ,ai,ái,,,,,,,
əʊ,ẩu,ố,ổ,ợ,,,,,
ɔɪ,ói,ổi,,,,,,,
ɪə,ỉa,ơi,yêu,eo,ổ,,,,
ʊə,úa,ủa,ưa,,,,,,
ju,yêu,yếu,dìu,,,,,,
ʌn,ăn,am,anh,,,,,,
en,em,êm,yến,yên,,,,,
ɪn,in,im,,,,,,,
ɒn,ôm,ốm,ổn,ồn,,,,,
ʊn,ùn,ủn,ưng,,,,,,
ʌt,ấp,ập,áp,,,,,,
et,ép,ếch,,,,,,,
ɪt,ít,ích,ép,ẹp,,,,,
ɒt,ớt,ốp,óc,ộc,,,,,
ʊt,úp,ụp,ức,,,,,,
bʌ,ba,bay,bảy,bám,bánh,bẩn,băm,,
be,bé,bế,bẻ,bê,,,,,
bɪ,bị,bia,bí,pin,bịt,,,,
bɒ,bò,bó,bỏ,bố,bổ,,,,
bʊ,bu, bú, búi, bún, búng,,,,
baɪ, bãi, bày, bảy, bàn, bán,,,,
bəʊ,bố,bổ,bơ,bâu,,,,,
bɔɪ,bói,bồi,bôi,bới,bởi,bơi,,,
bɪə,bia,bịa,bị,bìa,bí,,,,
bʊə,búa,bùa,bú,bơ,bờ,,,,
bju,biếu,bú,bù,bu,,,,,
bʌn,bạn,bán,bắn,bàn,bận,,,,
ben,bên,bẹn,bên,bện,,,,,
bɪn,biến,bình,bi,,,,,,
bɒn,bọn, bốn,bón,bơm,,,,,
bʊn,bún,bung,bưng,,,,,,
bʌt,bát,bắt,bạc,,,,,,
bet,bết,bét,bếp,bệ,,,,,
bɪt,bịt,bịp,bết,bét,,,,,
bɒt,bọt,bột,bốc,bớt,bóp,,,,
bʊt,bút,bụt,bứt,bực,bụp,,,,
dʌ,đá,đã,đang,đái,,,,,
de,để,đế,đè,đến,đen,,,,
dɪ,đi,đĩ,để,đè,,,,,
dɒ,đo,đò,đỏ,đố,đổ,,,,
dʊ, đu, đủ, đun, đút, đục, đực,,,
daɪ, đai, đái, đãi, đại,,,,,
dəʊ, đâu, đấu, đậu,,,,,,
dɔɪ,đói,đòi,đôi,đổi,đội,,,,
dɪə, đỉa,đĩa,đi ôm,,,,,,
dʊə,địu,đua,đũa,đu,đủ,,,,
dju,địu,đua,đũa,đu,đủ,,,,
dʌn,đan,đàn,đâm,đấm,đạn,đang,,,
den,đem,đến,đền,đen,,,,,
dɪn,định,đỉnh,đinh,,,,,,
dɒn,đón,đơn,đốm,,,,,,
dʊn,đun,đúng,đùm,,,,,,
dʌt,đặt,đạp,đất,đắp,đáp,,,,
det,đệt,đẹp,đếch,,,,,,
dɪt,đít, đệt,đích,địch,,,,,
dɒt,đốt,đọc,đợt,,,,,,
dʊt,đút,đứt,đục,đực,,,,,
fʌ,phá,pha,phải,phai,,,,,
fe,phê,phế,phèn,phét,phết,,,,
fɪ,phi,phí,phim,phịt,,,,,
fɒ,phò,phố,phô,phở,phởn,phọt,,,
fʊ,phụ,phủi,phun,phục,,,,,
faɪ,phai,phải,phẩy,phái,,,,,
fəʊ,phẫu,phơi,phở,,,,,,
fɔɪ,phòi,phôi,phổi,phơi,,,,,
fɪə,phía,phi,,,,,,,
fʊə,phủ,phở,,,,,,,
fju,phí,phủ,phụ,,,,,,
fʌn,fan,phắn,phân,phản,phang,,,,
fen,phê,phế,,,,,,,
fɪn,phim,phình,,,,,,,
fɒn,phong,phởn,phóng,phồng,,,,,
fʊn,phun,phùng,,,,,,,
fʌt,phạt,phất,fuck,,,,,,
fet,phét,phết,phép,,,,,,
fɪt,phịt,phích,,,,,,,
fɒt,phốt,phọt,,,,,,,
fʊt,phút,phụt,phúc,,,,,,
gʌ,gà,gạ,gã,gả,gạt,gặp,,,
ge,ghé,ghẹ,ghẻ,ghế,,,,,
gɪ,ghi,ghì,,,,,,,
